2019-10-21-00:00:00+0000 1.11557 1.11578 1.11541 1.11574 0.00023 58
2019-10-21-00:01:00+0000 1.11576 1.11577 1.11570 1.11576 0.00022 24
2019-10-21-00:02:00+0000 1.11573 1.11573 1.11566 1.11571 0.00022 12
2019-10-21-00:03:00+0000 1.11570 1.11572 1.11569 1.11571 0.00021 5
2019-10-21-00:04:00+0000 1.11571 1.11572 1.11570 1.11572 0.00018 4
2019-10-21-00:05:00+0000 1.11570 1.11570 1.11563 1.11566 0.00021 14
2019-10-21-00:06:00+0000 1.11564 1.11564 1.11545 1.11560 0.00024 21
2019-10-21-00:07:00+0000 1.11564 1.11564 1.11559 1.11559 0.00018 8
2019-10-21-00:08:00+0000 1.11557 1.11560 1.11553 1.11560 0.00022 8
2019-10-21-00:09:00+0000 1.11562 1.11562 1.11557 1.11559 0.00022 4
2019-10-21-00:10:00+0000 1.11558 1.11561 1.11530 1.11530 0.00020 28
2019-10-21-00:11:00+0000 1.11527 1.11533 1.11526 1.11527 0.00020 22
2019-10-21-00:12:00+0000 1.11527 1.11527 1.11504 1.11512 0.00020 36
2019-10-21-00:13:00+0000 1.11513 1.11521 1.11513 1.11519 0.00022 21
2019-10-21-00:14:00+0000 1.11519 1.11522 1.11513 1.11514 0.00021 11
2019-10-21-00:15:00+0000 1.11515 1.11515 1.11494 1.11498 0.00020 49
2019-10-21-00:16:00+0000 1.11498 1.11501 1.11497 1.11497 0.00020 17
2019-10-21-00:17:00+0000 1.11500 1.11505 1.11499 1.11502 0.00016 14
2019-10-21-00:18:00+0000 1.11500 1.11510 1.11500 1.11510 0.00017 11
2019-10-21-00:19:00+0000 1.11508 1.11512 1.11506 1.11511 0.00016 19
2019-10-21-00:20:00+0000 1.11510 1.11513 1.11505 1.11510 0.00015 31
2019-10-21-00:21:00+0000 1.11513 1.11513 1.11501 1.11508 0.00014 47
2019-10-21-00:22:00+0000 1.11507 1.11521 1.11507 1.11521 0.00016 27
2019-10-21-00:23:00+0000 1.11522 1.11524 1.11517 1.11523 0.00015 21
2019-10-21-00:24:00+0000 1.11524 1.11538 1.11521 1.11535 0.00015 74
2019-10-21-00:25:00+0000 1.11532 1.11535 1.11529 1.11533 0.00015 29
2019-10-21-00:26:00+0000 1.11534 1.11539 1.11527 1.11527 0.00014 60
2019-10-21-00:27:00+0000 1.11528 1.11528 1.11520 1.11521 0.00014 14
2019-10-21-00:28:00+0000 1.11521 1.11522 1.11517 1.11521 0.00013 18
2019-10-21-00:29:00+0000 1.11520 1.11520 1.11516 1.11520 0.00013 13
2019-10-21-00:30:00+0000 1.11519 1.11522 1.11517 1.11522 0.00013 16
2019-10-21-00:31:00+0000 1.11521 1.11527 1.11521 1.11527 0.00014 28
2019-10-21-00:32:00+0000 1.11526 1.11544 1.11526 1.11544 0.00014 51
2019-10-21-00:33:00+0000 1.11545 1.11557 1.11545 1.11557 0.00015 17
2019-10-21-00:34:00+0000 1.11558 1.11563 1.11558 1.11562 0.00014 25
2019-10-21-00:35:00+0000 1.11563 1.11563 1.11553 1.11557 0.00014 15
2019-10-21-00:36:00+0000 1.11558 1.11558 1.11552 1.11554 0.00014 17
2019-10-21-00:37:00+0000 1.11552 1.11554 1.11551 1.11551 0.00015 10
2019-10-21-00:38:00+0000 1.11553 1.11556 1.11553 1.11556 0.00014 7
2019-10-21-00:39:00+0000 1.11555 1.11557 1.11552 1.11557 0.00013 10
2019-10-21-00:40:00+0000 1.11557 1.11558 1.11556 1.11558 0.00013 
2019-10-21-00:41:00+0000 1.11558 1.11562 1.11556 1.11558 0.00014 23
2019-10-21-00:42:00+0000 1.11558 1.11563 1.11556 1.11560 0.00013 35
2019-10-21-00:43:00+0000 1.11559 1.11567 1.11559 1.11567 0.00013 18
2019-10-21-00:44:00+0000 1.11566 1.11566 1.11554 1.11554 0.00013 16
2019-10-21-00:45:00+0000 1.11553 1.11559 1.11551 1.11558 0.00012 39
2019-10-21-00:46:00+0000 1.11557 1.11557 1.11557 1.11557 0.00012 1
2019-10-21-00:47:00+0000 1.11555 1.11556 1.11555 1.11556 0.00013 2
2019-10-21-00:48:00+0000 1.11558 1.11559 1.11557 1.11558 0.00014 4
2019-10-21-00:49:00+0000 1.11556 1.11557 1.11552 1.11557 0.00015 14
2019-10-21-00:50:00+0000 1.11557 1.11559 1.11557 1.11558 0.00013 9
2019-10-21-00:51:00+0000 1.11559 1.11566 1.11559 1.11563 0.00013 59
2019-10-21-00:52:00+0000 1.11556 1.11567 1.11556 1.11565 0.00016 50
2019-10-21-00:53:00+0000 1.11566 1.11566 1.11563 1.11564 0.00013 12
2019-10-21-00:54:00+0000 1.11565 1.11566 1.11560 1.11564 0.00014 27
2019-10-21-00:55:00+0000 1.11561 1.11565 1.11561 1.11564 0.00015 10
2019-10-21-00:56:00+0000 1.11562 1.11564 1.11562 1.11564 0.00014 4
2019-10-21-00:57:00+0000 1.11565 1.11568 1.11564 1.11566 0.00014 15
2019-10-21-00:58:00+0000 1.11567 1.11567 1.11562 1.11566 0.00015 12
2019-10-21-00:59:00+0000 1.11567 1.11568 1.11565 1.11567 0.00014 9
2019-10-21-01:00:00+0000 1.11568 1.11577 1.11568 1.11575 0.00014 16
2019-10-21-01:01:00+0000 1.11574 1.11576 1.11571 1.11574 0.00014 46
2019-10-21-01:02:00+0000 1.11576 1.11578 1.11576 1.11577 0.00014 4
2019-10-21-01:03:00+0000 1.11579 1.11581 1.11576 1.11580 0.00015 33
2019-10-21-01:04:00+0000 1.11583 1.11583 1.11581 1.11581 0.00014 18
2019-10-21-01:05:00+0000 1.11582 1.11588 1.11582 1.11587 0.00014 12
2019-10-21-01:06:00+0000 1.11588 1.11590 1.11584 1.11586 0.00014 14
2019-10-21-01:07:00+0000 1.11585 1.11585 1.11581 1.11584 0.00013 46
2019-10-21-01:08:00+0000 1.11585 1.11585 1.11577 1.11577 0.00013 31
2019-10-21-01:09:00+0000 1.11578 1.11578 1.11567 1.11571 0.00013 24
2019-10-21-01:10:00+0000 1.11572 1.11573 1.11567 1.11569 0.00013 41
2019-10-21-01:11:00+0000 1.11567 1.11568 1.11560 1.11560 0.00014 49
2019-10-21-01:12:00+0000 1.11559 1.11562 1.11553 1.11555 0.00014 93
2019-10-21-01:13:00+0000 1.11555 1.11559 1.11540 1.11542 0.00016 36
2019-10-21-01:14:00+0000 1.11543 1.11543 1.11535 1.11540 0.00015 29
2019-10-21-01:15:00+0000 1.11538 1.11539 1.11530 1.11531 0.00013 16
2019-10-21-01:16:00+0000 1.11530 1.11532 1.11529 1.11530 0.00013 17
2019-10-21-01:17:00+0000 1.11531 1.11531 1.11523 1.11526 0.00013 15
2019-10-21-01:18:00+0000 1.11527 1.11529 1.11526 1.11526 0.00013 22
2019-10-21-01:19:00+0000 1.11527 1.11531 1.11527 1.11528 0.00013 32
2019-10-21-01:20:00+0000 1.11527 1.11530 1.11524 1.11524 0.00013 35
2019-10-21-01:21:00+0000 1.11525 1.11525 1.11520 1.11520 0.00013 21
2019-10-21-01:22:00+0000 1.11522 1.11528 1.11522 1.11525 0.00012 15
2019-10-21-01:23:00+0000 1.11526 1.11526 1.11520 1.11522 0.00014 10
2019-10-21-01:24:00+0000 1.11522 1.11523 1.11516 1.11516 0.00014 18
2019-10-21-01:25:00+0000 1.11514 1.11516 1.11514 1.11516 0.00013 5
2019-10-21-01:26:00+0000 1.11516 1.11516 1.11514 1.11515 0.00013 9
2019-10-21-01:27:00+0000 1.11514 1.11520 1.11512 1.11518 0.00013 27
2019-10-21-01:28:00+0000 1.11520 1.11520 1.11516 1.11516 0.00014 6
2019-10-21-01:29:00+0000 1.11518 1.11518 1.11515 1.11515 0.00013 9
2019-10-21-01:30:00+0000 1.11514 1.11515 1.11511 1.11511 0.00013 17
2019-10-21-01:31:00+0000 1.11512 1.11515 1.11508 1.11510 0.00014 18
2019-10-21-01:32:00+0000 1.11509 1.11510 1.11507 1.11509 0.00013 12
2019-10-21-01:33:00+0000 1.11511 1.11513 1.11510 1.11513 0.00013 10
2019-10-21-01:34:00+0000 1.11512 1.11512 1.11509 1.11509 0.00013 5
2019-10-21-01:35:00+0000 1.11510 1.11510 1.11509 1.11509 0.00014 5
2019-10-21-01:36:00+0000 1.11511 1.11513 1.11509 1.11513 0.00013 21
2019-10-21-01:37:00+0000 1.11514 1.11515 1.11509 1.11509 0.00013 20
2019-10-21-01:38:00+0000 1.11511 1.11514 1.11511 1.11513 0.00013 15
2019-10-21-01:39:00+0000 1.11512 1.11515 1.11509 1.11510 0.00013 30
2019-10-21-01:40:00+0000 1.11509 1.11516 1.11509 1.11514 0.00014 18
2019-10-21-01:41:00+0000 1.11516 1.11530 1.11516 1.11527 0.00013 28
2019-10-21-01:42:00+0000 1.11528 1.11529 1.11520 1.11521 0.00014 51
2019-10-21-01:43:00+0000 1.11522 1.11523 1.11520 1.11521 0.00014 13
2019-10-21-01:44:00+0000 1.11522 1.11528 1.11522 1.11527 0.00014 18
2019-10-21-01:45:00+0000 1.11528 1.11529 1.11524 1.11526 0.00014 18
2019-10-21-01:46:00+0000 1.11527 1.11529 1.11525 1.11529 0.00014 30
2019-10-21-01:47:00+0000 1.11528 1.11528 1.11523 1.11525 0.00014 13
2019-10-21-01:48:00+0000 1.11527 1.11528 1.11523 1.11525 0.00014 10
2019-10-21-01:49:00+0000 1.11526 1.11532 1.11526 1.11531 0.00014 16
2019-10-21-01:50:00+0000 1.11532 1.11535 1.11530 1.11535 0.00014 20
2019-10-21-01:51:00+0000 1.11534 1.11535 1.11533 1.11535 0.00014 14
2019-10-21-01:52:00+0000 1.11535 1.11538 1.11532 1.11534 0.00013 17
2019-10-21-01:53:00+0000 1.11535 1.11542 1.11534 1.11540 0.00013 22
2019-10-21-01:54:00+0000 1.11539 1.11539 1.11535 1.11536 0.00014 5
2019-10-21-01:55:00+0000 1.11535 1.11538 1.11531 1.11538 0.00013 35
2019-10-21-01:56:00+0000 1.11537 1.11547 1.11537 1.11547 0.00013 48
2019-10-21-01:57:00+0000 1.11547 1.11551 1.11542 1.11548 0.00013 47
2019-10-21-01:58:00+0000 1.11547 1.11550 1.11546 1.11547 0.00013 17
2019-10-21-01:59:00+0000 1.11549 1.11560 1.11549 1.11554 0.00013 49
2019-10-21-02:00:00+0000 1.11553 1.11554 1.11547 1.11549 0.00013 46
2019-10-21-02:01:00+0000 1.11548 1.11563 1.11548 1.11561 0.00013 34
2019-10-21-02:02:00+0000 1.11560 1.11562 1.11558 1.11560 0.00013 22
2019-10-21-02:03:00+0000 1.11561 1.11568 1.11561 1.11564 0.00013 43
2019-10-21-02:04:00+0000 1.11565 1.11572 1.11565 1.11566 0.00013 20
2019-10-21-02:05:00+0000 1.11565 1.11567 1.11564 1.11564 0.00013 14
2019-10-21-02:06:00+0000 1.11565 1.11569 1.11565 1.11569 0.00012 12
